episode 1: score 260.0, best_score 260.0, best ave score 260.0, trailing 100 games avg 260.0, steps 513, total steps 513
episode 215: score 240.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 318.2, steps 449, total steps 111863
episode 216: score 260.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 319.0, steps 525, total steps 112388
episode 217: score 310.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 319.3, steps 493, total steps 112881
episode 218: score 310.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 317.9, steps 525, total steps 113406
episode 219: score 490.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 319.1, steps 699, total steps 114105
episode 220: score 250.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 319.8, steps 501, total steps 114606
episode 221: score 230.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 320.4, steps 443, total steps 115049
episode 222: score 250.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 321.0, steps 411, total steps 115460
episode 223: score 230.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 321.2, steps 451, total steps 115911
episode 224: score 260.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 313.5, steps 493, total steps 116404
episode 225: score 250.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 313.3, steps 481, total steps 116885
episode 226: score 270.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 312.9, steps 497, total steps 117382
episode 227: score 260.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 312.2, steps 429, total steps 117811
episode 228: score 260.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 311.9, steps 553, total steps 118364
episode 229: score 230.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 310.0, steps 389, total steps 118753
episode 230: score 400.0, best_score 2140.0, best ave score 614.7058823529412, trailing 100 games avg 310.1, steps 633, total steps 119386
